Country Name,Country Code,Year,Value
Arab World,ARB,1960,92197753
Arab World,ARB,1961,94724510
Arab World,ARB,1962,97334442
Arab World,ARB,1963,100034179
Arab World,ARB,1964,102832760
Arab World,ARB,1965,105736431
Arab World,ARB,1966,108758610
Arab World,ARB,1967,111899364
Arab World,ARB,1968,115136178
Arab World,ARB,1969,118437195
Arab World,ARB,1970,121785650
Arab World,ARB,1971,125164745
Arab World,ARB,1972,128598734
Arab World,ARB,1973,132161298
Arab World,ARB,1974,135952252
Arab World,ARB,1975,140040649
Arab World,ARB,1976,144453278
Arab World,ARB,1977,149161891
Arab World,ARB,1978,154111175
Arab World,ARB,1979,159218552
Arab World,ARB,1980,164420785
Arab World,ARB,1981,169698994
Arab World,ARB,1982,175061792
Arab World,ARB,1983,180505996
Arab World,ARB,1984,186035305
Arab World,ARB,1985,191650331
Arab World,ARB,1986,197338142
Arab World,ARB,1987,203084971
Arab World,ARB,1988,208889682
Arab World,ARB,1989,214753970
Arab World,ARB,1990,222653373
Arab World,ARB,1991,228731685
Arab World,ARB,1992,232956352
Arab World,ARB,1993,239243261
Arab World,ARB,1994,245449409
Arab World,ARB,1995,253107289
Arab World,ARB,1996,259000953
Arab World,ARB,1997,264822188
Arab World,ARB,1998,270575803
Arab World,ARB,1999,276393837
Arab World,ARB,2000,282344154
Arab World,ARB,2001,288432163
Arab World,ARB,2002,294665185
Arab World,ARB,2003,301113849
Arab World,ARB,2004,307862843
Arab World,ARB,2005,314965793
Arab World,ARB,2006,322452754
Arab World,ARB,2007,330290716
Arab World,ARB,2008,338395961
Arab World,ARB,2009,346629220
Arab World,ARB,2010,354890042
Arab World,ARB,2011,363158703
Arab World,ARB,2012,371443547
Arab World,ARB,2013,379705719
Arab World,ARB,2014,387907748
Arab World,ARB,2015,396028278
Arab World,ARB,2016,404024433
Arab World,ARB,2017,411898965
Arab World,ARB,2018,419790588
Uruguay,URY,1960,2538643
Uruguay,URY,1961,2571681
Uruguay,URY,1962,2603882
Uruguay,URY,1963,2635126
Uruguay,URY,1964,2665388
Uruguay,URY,1965,2694536
Uruguay,URY,1966,2722875
Uruguay,URY,1967,2750086
Uruguay,URY,1968,2774759
Uruguay,URY,1969,2795042
Uruguay,URY,1970,2809793
Uruguay,URY,1971,2818281
Uruguay,URY,1972,2821461
Uruguay,URY,1973,2822117
Uruguay,URY,1974,2824095
Uruguay,URY,1975,2830176
Uruguay,URY,1976,2841372
Uruguay,URY,1977,2856958
Uruguay,URY,1978,2875728
Uruguay,URY,1979,2895688
Uruguay,URY,1980,2915389
Uruguay,URY,1981,2934613
Uruguay,URY,1982,2953852
Uruguay,URY,1983,2973036
